Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude
200,Australian National University,Australian Capital Territory,ACT,CANBERRA,,
2540,Jervis Bay,Australian Capital Territory,ACT,NEW CNTRY WEST,-35.028,150.5501
2600,Harman,Australian Capital Territory,ACT,CANBERRA,-35.3053,149.1365
2601,Canberra,Australian Capital Territory,ACT,CANBERRA,-35.2772,149.1054
2602,Lyneham,Australian Capital Territory,ACT,CANBERRA,-35.2478,149.1401
2603,Red Hill,Australian Capital Territory,ACT,CANBERRA,-35.3283,149.1256
2604,Narrabundah,Australian Capital Territory,ACT,CANBERRA,-35.3304,149.1485
2605,Curtin,Australian Capital Territory,ACT,CANBERRA,-35.331,149.0899
2606,Phillip,Australian Capital Territory,ACT,CANBERRA,-35.3481,149.0905
2607,Isaacs,Australian Capital Territory,ACT,CANBERRA,-35.3686,149.1011
2608,Civic Square,Australian Capital Territory,ACT,CANBERRA,-35.31,149.1933
2609,Symonston,Australian Capital Territory,ACT,CANBERRA,-35.3287,149.1737
2610,Canberra Bc,Australian Capital Territory,ACT,CANBERRA,-35.2778,149.0111
2611,Weston Creek,Australian Capital Territory,ACT,CANBERRA,-35.4171,148.7769
2612,Braddon,Australian Capital Territory,ACT,CANBERRA,-35.2788,149.1417
2614,Aranda,Australian Capital Territory,ACT,CANBERRA,-35.249,149.0548
2615,Charnwood,Australian Capital Territory,ACT,CANBERRA,-35.2101,149.034
2616,Belconnen,Australian Capital Territory,ACT,CANBERRA,-35.2167,149.0833
2617,Bruce,Australian Capital Territory,ACT,CANBERRA,-35.2407,149.0466
